latitude,longitude,area_km2
40.377262,15.540944,0.74534297
44.520683,-87.9804,147.83046
36.36121,117.50065,0.019918507
21.910418,105.644745,3.5578346
-7.8568807,39.77175,428.29657
-27.126657,152.94302,41.808174
17.967142,77.93452,0.015599646
47.621918,19.081642,0.0866346
16.425898,80.4548,44.692173
55.142456,-2.257122,1.379341
43.559223,-0.53602934,4.9079633
22.56725,92.057205,79.77265
-36.850636,175.79054,25.078178
45.832436,5.720038,20.136992
26.141212,-80.145905,94.78452
-1.8383954,-79.43236,1089.0225
16.104326,-93.97738,0.35629377
11.207016,77.00164,0.16417569
53.225964,-1.4487292,273.9455
-33.707104,18.976603,0.029161535
-7.1935124,113.25269,0.017801015
49.80668,8.69141,20.938828
14.906305,100.67693,144.04953
8.427142,78.02605,0.024359347
33.64852,-7.4453263,32.459206
26.509323,81.35654,3.110603
22.648106,104.932556,37.54454
29.06023,116.80495,0.021587092
-32.60256,-66.12662,4.4890566
-26.030611,-58.65124,0.33818045
-2.5880342,115.38142,0.016961504
31.668627,77.073326,0.3513801
38.01995,-122.52755,0.15736614
9.51731,77.630424,7.5608907
44.278816,-75.38656,0.017740969
-18.124073,-63.19378,0.035251684
44.00059,11.719428,56.319305
13.649306,24.088268,10.4501705
20.876537,105.658646,243.28941
-35.544266,143.93822,54.778942
50.114063,18.263155,9.877866
30.50742,-90.33159,2.2872915
-33.905132,18.542713,18.517849
34.817226,-106.78645,0.019720789
10.812929,106.71376,17.494032
10.496092,-66.933014,1.6767951
-23.552704,-46.18676,0.5172557
18.363329,75.41642,10.091002
18.96325,105.222725,21.838203
15.625609,101.94178,81.40115
23.980076,121.60493,0.0225431
10.240191,99.01902,824.0587
27.317352,82.41714,1.367991
36.300896,127.64864,59.698994
20.51836,-101.546326,0.20937704
5.381382,95.51508,2923.1616
16.218107,-93.94564,1.1254873
32.097202,35.566433,0.48549685
-25.233166,-57.56259,3.158541
44.537937,11.502325,0.06832992
42.545742,24.836073,3.2167966
7.55428,100.00872,22.383001
28.69025,-100.51788,0.25069883
50.430832,15.806475,0.031113606
26.780228,68.45947,984.64526
-5.4429,105.286674,5.2316084
25.066078,82.95927,0.099047706
46.273148,-119.30185,0.05953837
-0.9672151,-80.691986,0.27029774
29.597576,74.25249,0.7706278
-34.637405,-58.401745,3.6672726
16.08694,-93.76224,10.00645
19.804482,85.826584,0.07897225
51.800163,15.713378,19.927927
45.29327,-75.777916,2911.052
45.791927,13.074443,1.2739785
2.2506418,102.28866,0.045418873
23.469324,102.17057,0.0226296
-14.13085,-39.742912,0.31494737
41.433014,31.743105,0.0060764123
32.339016,-81.938995,0.1894513
0.115127325,117.49496,2.0261853
19.603212,105.45205,66.99098
7.817212,-72.44071,7.708178
16.878126,121.82106,338.04678
14.397996,-91.401,2135.9897
12.892316,80.18889,0.024013551
-6.1426396,106.72705,0.25484663
41.986305,12.484909,0.0544792
43.86627,10.9767475,0.09786871
-7.389481,112.730896,19.846756
-6.2870994,106.87442,0.01764671
31.130102,77.169014,0.08498316
-6.285189,106.972015,0.017312266
18.898296,-96.970245,0.47341678
10.795952,106.70667,0.4530793
18.055763,-77.74553,1187.269
46.768494,23.6138,102.563736
6.940383,122.10817,4.0376554
44.141197,18.14335,0.017781897
2.176546,102.55003,0.7039342
21.68045,88.054886,4.640504
17.007498,81.79754,35.18298
44.114677,-70.6805,0.0156129
39.87031,20.015429,8.609921
18.794926,-97.189606,0.18431424
55.429234,65.332756,389.1129
-6.234929,106.82217,1.1702936
28.619808,77.36075,6.2725096
9.325414,80.72895,0.024301331
38.25322,-0.67265934,0.20399146
37.8389,-94.69029,0.09304809
35.92887,-89.18818,1.4543294
44.381756,11.981565,0.07354821
40.99359,40.660263,1.7511995
49.680813,3.7185316,7.8903255
-3.2956004,114.610756,4.847171
-22.98216,-46.528027,0.065989345
41.691883,-8.827304,0.006439919
-23.249107,-45.91534,0.11933817
39.992977,32.8552,0.4702439
14.786368,-17.311941,0.023823665
-7.0719485,112.140755,6.5699797
47.792473,9.201108,0.3849355
18.902994,105.323616,5.611676
17.009083,-96.70962,2.1178818
31.036295,-89.8048,0.021169107
23.000532,91.41235,896.9543
17.251602,80.13512,0.027591392
-40.37978,175.58542,0.10431635
-29.70827,-52.440056,0.65230614
42.349575,-71.08048,1.5420338
12.9853525,80.24397,2.2839744
51.789597,-2.7363946,0.21650371
37.243366,15.223717,0.025691243
41.786983,33.65484,0.01846558
-7.028773,112.586784,84.134674
-3.6031396,120.408356,5.2507653
43.011837,-83.58804,0.083222136
10.330963,-75.118256,86.603264
46.908386,-72.9037,0.016939031
31.510382,130.51514,0.27115646
31.736404,-106.51103,0.45041844
12.977855,77.613205,0.26134807
51.73356,-9.75107,589.3613
16.726433,95.66914,1320.825
-7.9426613,112.63775,0.014286635
11.973413,-86.09396,14.213658
43.52572,-6.053987,35.539
20.536238,105.916245,0.6170916
57.17252,65.57067,463.37384
17.425268,78.64919,0.025121778
-6.969915,110.53475,0.0383062
16.539965,81.53083,29.115149
23.498379,121.381165,1.0049859
13.09938,80.22791,0.014627022
42.11556,24.736763,15.020066
-5.1896753,119.40413,19.497383
25.103176,90.837975,7.909679
-6.1418953,107.09835,10.944955
16.45412,-95.00101,0.41880092
19.337173,-99.66084,0.63625294
36.338905,138.43813,98.55446
-25.836903,152.52116,56.293797
25.61957,74.918434,3.7138758
36.120308,-79.68007,5.554487
18.44912,-66.067795,20.883734
21.01592,105.82853,0.05032287
12.950362,79.59606,2.706683
9.902493,78.159706,1.0196295
51.0535,-2.7353213,2.8354654
-3.641278,-79.86092,0.024569772
30.247316,74.012695,1.0301856
